,uid,title,author,url,publishDate
30,92141d11-f8a6-4b41-9db0-7766db83c4a8,Microsoft Edge tests a sidebar that you can pin to your desktop,Emma Roth,https://www.theverge.com/2023/4/14/23683479/microsoft-edge-detachable-sidebar-windows-11,2023-04-14T17:23:26.369Z
31,107033a9-34a8-403c-bf6e-fe6110599c92,The ghost of LG Smartphone is about to peace out for good.,Sean Hollister,https://www.theverge.com/2023/4/14/23683563/the-ghost-of-lg-smartphone-is-about-to-peace-out-for-good,2023-04-14T17:13:16.211Z
32,cfbef086-ff57-4899-ae02-19e0f555c411,Apple commits to using more recycled cobalt in its devices,Justine Calma,https://www.theverge.com/2023/4/14/23682820/apple-recycled-metals-cobalt-batteries,2023-04-14T16:51:15.126Z
33,03ccf5a7-5191-48e4-b0cd-e70bea60983b,"Rising seas, disappearing landmarks",Justine Calma,https://www.theverge.com/2023/4/14/23683548/rising-seas-disappearing-landmarks,2023-04-14T16:47:37.695Z
34,4ef73d33-afed-47cb-8105-6164f7261c34,What happens when your land disappears?,Justine Calma,https://www.theverge.com/2023/4/14/23683540/what-happens-when-your-land-disappears,2023-04-14T16:40:16.358Z
35,24cc26e2-05b4-4213-a8ba-52113e7b6e41,Our favorite video doorbell for most people is $50 off right now,Antonio G. Di Benedetto,https://www.theverge.com/2023/4/14/23683153/google-nest-wired-video-doorbell-adata-ps5-ssd-nanoleaf-elements-deal-sale,2023-04-14T15:31:29.454Z
36,f99fe775-ba77-416c-8d79-4e22f5313232,Did you know there’s a Horizon expansion coming out next week?,Jay Peters,https://www.theverge.com/2023/4/14/23683395/did-you-know-theres-a-horizon-expansion-coming-out-next-week,2023-04-14T15:30:13.959Z
37,54975430-8c82-487c-bd65-819629106399,Tears of the Kingdom’s composers did what had to be done.,Ash Parrish,https://www.theverge.com/2023/4/14/23683345/tears-of-the-kingdoms-composers-did-what-had-to-be-done,2023-04-14T15:09:46.590Z
38,1941dc4b-e315-463a-9a2e-f170ddf97f65,Spotify abandons Heardle less than a year after buying it,Emma Roth,https://www.theverge.com/2023/4/14/23683240/spotify-shuts-down-heardle-music-guessing-game,2023-04-14T14:53:41.020Z
39,a8634d37-9e08-42de-9225-88d996f5bdd2,A new look for Remedy.,Andrew Webster,https://www.theverge.com/2023/4/14/23683324/a-new-look-for-remedy,2023-04-14T14:47:39.031Z
40,b3b31757-53ca-438b-9747-dcf4974242b1,Parler goes offline after being sold to a new owner,Jess Weatherbed,https://www.theverge.com/2023/4/14/23683207/parler-shutting-down-relaunch-aquisition-announcement-conservative-social-media,2023-04-14T14:36:22.916Z
41,00db791c-a166-49ac-939c-89af49d18c8f,I promise you this was meant to be a softball question.,Nilay Patel,https://www.theverge.com/2023/4/14/23683279/i-promise-you-this-was-meant-to-be-a-softball-question,2023-04-14T14:15:32.695Z
42,a6d0859a-4725-4756-9520-a79adbda1ce9,"Today on The Vergecast: HBO Max is out and Max is in, everybody’s quitting Twitter, and Sony’s finally doing cloud gaming.",David Pierce,https://www.theverge.com/2023/4/14/23683230/today-on-the-vergecast-hbo-max-is-out-and-max-is-in-everybodys-quitting-twitter-and-sonys-finally-do,2023-04-14T13:53:00.000Z
43,a864bd60-c307-4f26-bea1-b07dd99d79b5,Sling TV finally launches on the Amazon Echo Show 8 and 10,Emma Roth,https://www.theverge.com/2023/4/14/23683156/sling-tv-amazon-echo-show-launch-streaming,2023-04-14T13:52:11.193Z
44,95226935-e5e9-4fb4-8a0a-a93910b9e44c,It’s time to stop being polite... and also stop getting real.,T.C. Sottek,https://www.theverge.com/2023/4/14/23683224/its-time-to-stop-being-polite-and-also-stop-getting-real,2023-04-14T13:30:03.278Z
45,5de9471c-9571-4661-ad5e-d56a860d8a03,How two insurgents are taking on Twitter,Casey Newton,https://www.theverge.com/23683140/artifact-substack-notes-twitter-competitors,2023-04-14T13:30:00.000Z
